Date,tracking,SP500
2012-07-03,0.9999999999999998,1.0
2012-07-05,1.0038774278650233,0.9953129769690259
2012-07-06,0.9874549017608913,0.9859245385471819
2012-07-09,0.9938862140016846,0.9843087740445694
2012-07-10,0.9835435102947889,0.976310353295122
2012-07-11,0.9781925219939012,0.9762957832517707
2012-07-12,0.9762132821854015,0.9714269012040897
2012-07-13,0.9965518374375562,0.9874528827896871
2012-07-16,0.9884608089061613,0.985167607026741
2012-07-17,0.9958426247222738,0.9924673764291525
2012-07-18,1.0139332932526488,0.9990975457295025
2012-07-19,1.0146599546184987,1.0018121935626705
2012-07-20,1.0013659623889624,0.9917322999737384
2012-07-23,0.983818807371022,0.9828969013071461
2012-07-24,0.9791638151145294,0.9740105963305523
2012-07-25,0.9793160805300274,0.9737048919453603
2012-07-26,0.9954751436352911,0.9898109199276615
2012-07-27,1.0248958859440784,1.0086970720964836
2012-07-30,1.0136435875828582,1.0082095086945846
2012-07-31,1.0015298921974154,1.0038572412937772
2012-08-01,0.9958675251748779,1.0009460755588233
2012-08-02,0.9991669978713773,0.9934353070530026
2012-08-03,1.0204908145889358,1.012350599308527
2012-08-06,1.0234591833555455,1.0147086364465017
2012-08-07,1.0338341164097788,1.0198905079010503
2012-08-08,1.0363531660240675,1.0205236828947335
2012-08-09,1.0393795309484923,1.0209458587850078
2012-08-10,1.0391029330008361,1.0231801393962245
2012-08-13,1.0352070373923352,1.0218992193655065
2012-08-14,1.0322432951321285,1.0217682666588013
2012-08-15,1.0391342799366161,1.0229327151844374
2012-08-16,1.0491540591310198,1.0301960594784707
2012-08-17,1.0516049657519737,1.032124724546223
2012-08-20,1.0483384771218731,1.0321028694811964
2012-08-21,1.0443949846307679,1.0284930523992064
2012-08-22,1.0441518263143927,1.0287259065676426
2012-08-23,1.039593585312753,1.0204217814330028
2012-08-24,1.0430721736404704,1.0270083294450272
2012-08-27,1.045788482662386,1.026506107158049
2012-08-28,1.0473749881383205,1.0256765031043076
2012-08-29,1.047637283575477,1.0265425322664272
2012-08-30,1.0372356858290726,1.0185295414736284
2012-08-31,1.0445548257146533,1.023696842884826
2012-09-04,1.044554825714653,1.023696842884826
2012-09-05,1.0413907096748156,1.0226038813858525
2012-09-06,1.059963719975054,1.0435013443822185
2012-09-07,1.0747895577310786,1.0477274977564237
2012-09-10,1.066598003485978,1.04128624728176
2012-09-11,1.0733197511706247,1.0445506336728594
2012-09-12,1.0761827588483956,1.0467365566708065
2012-09-13,1.0976470426488312,1.0638085654753304
2012-09-14,1.1123373049387357,1.0680201317982798
2012-09-17,1.1014754694606816,1.0646828990963357
2012-09-18,1.0986986249358697,1.0633203439854326
2012-09-19,1.0940350402716863,1.0645809676284137
2012-09-20,1.0884278974395205,1.0640053127764153
2012-09-21,1.0838798201763078,1.0639251729399428
2012-09-24,1.075097388673408,1.0615497961665388
2012-09-25,1.0564948154697829,1.0504015532988342
2012-09-26,1.0501874642201507,1.0443756780032238
2012-09-27,1.0653042319856065,1.0544528399488382
2012-09-28,1.0573767822081834,1.049731260504542
2012-10-01,1.0561573608423946,1.052514629985937
2012-10-02,1.0535122611017207,1.0534327247607094
2012-10-03,1.0537040883166287,1.057250796481489
2012-10-04,1.060068693187927,1.0648359741890874
2012-10-05,1.0603854628936198,1.0644935342663133
2012-10-08,1.05835857576519,1.0608138616415952
2012-10-09,1.045096501406476,1.0503214134623617
2012-10-10,1.0377533499499891,1.0438219926735435
2012-10-11,1.0414165170537004,1.0440259445548217
2012-10-12,1.0403210675698176,1.0409292203077298
2012-10-15,1.0536097978683359,1.0493377659023724
2012-10-16,1.0655791310911786,1.060114394744791
2012-10-17,1.0709718284139418,1.0644789472150573
2012-10-18,1.0717966116003874,1.061877649038057
2012-10-19,1.05832108170052,1.0442809511154953
2012-10-22,1.0573623139132873,1.0447399985028816
2012-10-23,1.0468355658312114,1.029649871869592
2012-10-24,1.0494692666019165,1.0264730077860276
2012-10-25,1.054668286264827,1.0295478514562355
2012-10-26,1.0727343532197284,1.0287973298800361
2012-10-31,1.0725814063803796,1.028957698498416
2012-11-01,1.0972534741950453,1.0402005793084141
2012-11-02,1.0826208632768362,1.0304440656541245
2012-11-05,1.082620863276836,1.0304440656541245
2012-11-06,1.09246999951596,1.0385363334124535
2012-11-07,1.0687929460861068,1.013917829589416
2012-11-08,1.058133022464923,1.0015431220534332
2012-11-09,1.0579979585244723,1.0032444357691666
2012-11-12,1.0513043938538058,1.0033753470180948
2012-11-13,1.046097871314045,0.9993764743186281
2012-11-14,1.0238040112621731,0.9855330756997533
2012-11-15,1.0145641722864553,0.9839625844795593
2012-11-16,1.0263986491138675,0.988724913832098
2012-11-19,1.044655065855936,1.0083630212255683
2012-11-20,1.0469385962691602,1.0090319555192446
2012-11-21,1.053726585268328,1.011373092417028
2012-11-23,1.0667753946218055,1.0245475567422266
2012-11-26,1.0612188849907538,1.0224681535889106
2012-11-27,1.0559579789671047,1.0171241345241848
2012-11-28,1.0681303580348032,1.0251146908986009
2012-11-29,1.0802996307030228,1.029491564282261
2012-11-30,1.0763989824358329,1.029658864420722
2012-12-03,1.0760963139339548,1.0247729015971616
2012-12-04,1.0761960158915191,1.0230207321894718
2012-12-05,1.0768801876595664,1.0246420791016224
2012-12-06,1.0818393216714388,1.028030150977276
2012-12-07,1.0842488964205315,1.0310329443908293
2012-12-10,1.0889156526087274,1.0313820114701748
2012-12-11,1.0940113006154928,1.0381364106411515
2012-12-12,1.0964164911912593,1.0386017446602231
2012-12-13,1.094883812982804,1.0320363014546492
